"","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","IEM1"
"FT00001",12.8794764048636,11.1554210251585,13.1952050594528,10.8790891152361,12.3684235847957,14.1527145697458,13.8009591789267,14.1070147276034,9.86717361985223,12.5323655753166,12.7714320899646
"FT00002",12.5166559324223,13.1185232959719,12.3589193882624,13.1840236674821,13.3315613317924,13.1331573232419,13.4358082321122,12.3577274455445,12.6936589624247,13.4949836227931,12.8448779450739
"FT00003",12.0665088476984,11.2349543933428,14.5171797543691,12.5592503179136,9.67006307574448,11.4169648513016,13.8247199618416,11.9369161091175,14.4315826790935,13.2891920403237,12.3619303768606
"FT00004",21.5012762500652,21.328387786529,21.7401967505529,23.0189362016933,21.4788987881323,20.6359784952492,21.1963499264514,21.5549546798001,22.5292256120775,21.5822005988057,21.3103527227366
"FT00005",19.4317233812715,19.166319817169,19.4411419366349,20.3827103685974,19.0356163099752,18.4207613090575,18.9861373761432,19.1756143602907,20.1720680232147,19.4386087911729,19.0621718572901
"FT00006",16.4103863996879,16.545954750788,16.5588581660492,16.3949459079458,15.9262552932185,16.5963229160329,16.2125385184062,16.0042349080262,17.2055743476345,16.2544580221252,16.3403300738922
"FT00007",15.0138688681844,14.7983495160032,15.2867976601617,16.5065096332937,15.1092816714366,14.1969618280081,14.7553074087211,15.1654575102295,15.9519400717668,15.2489814486538,14.9686094400112
"FT00008",16.3786664350252,15.8315179428403,15.5831163518705,15.6740406766706,15.4895588380265,15.374391954586,15.4267487049139,15.6009523759678,17.1546526885748,15.6496038738634,15.3856947896736
"FT00009",15.9826056074566,16.1466853047576,16.2149288877691,16.1881779172201,16.0088235612646,15.9834100781742,16.0027802293809,16.1307321874421,16.8786091747556,16.124255951323,15.6731541784122
"FT00010",16.1209471805811,16.0651166888029,18.4530775802927,16.3173698485776,15.9156273017188,15.8486323930646,15.9959566162245,18.336668003681,16.5104212903552,16.1758290110996,15.8573459985844
"FT00011",15.7332559860269,15.996980133444,15.6069583743367,16.0244504566331,16.6877746741659,15.5644628396621,16.559581194669,14.9411996210805,16.1223390516983,16.0599097537773,15.7108524237657
"FT00012",17.6930596980434,17.091922530768,16.8333861895417,17.1566557281171,17.6904863091127,17.535866200161,17.8518311210084,18.2397293215362,17.3756020154904,17.5265629131307,16.6132813536646
"FT00013",18.4273287932192,17.7715660865397,17.88092399898,18.5992873557895,17.5017567697809,18.2803613811909,17.5698701357621,17.8084497245601,18.9959811141012,17.9980052003407,18.2339776352679
"FT00014",15.1400148997858,16.031391337029,15.6911078455007,15.7934031544983,15.8117755816482,15.6161360565016,15.835971018415,15.4739424163602,15.5784410277529,15.7325890903244,15.7354891249663
"FT00015",16.839695033299,16.9959611013566,17.0437471740308,17.1809740319308,16.7195298541148,16.7514597132458,16.882537931686,17.009708280816,17.4563057193369,17.3592705304014,16.9223156140086
"FT00016",16.3372457416678,16.4461980532235,16.6671035156031,17.1823821337483,16.4187634339938,16.5707241709031,16.5075861858039,17.0662513806861,17.3742007475389,17.1663977943084,16.6912962531962
"FT00017",17.7725338227723,17.7946191018764,16.6945622092843,17.7390222204277,17.2696189361961,17.4993315081501,17.7825802350283,18.5572506343229,17.8512591410079,17.5907893937268,17.5074983928621
"FT00018",17.8589743594113,18.0946057647672,17.2970157619101,16.7923996131173,17.0589568415166,17.7985216525074,17.4341928552836,19.004262984415,18.5979671468705,16.9407762697848,16.5719993892862
"FT00019",16.5910962005296,16.7134780546433,16.4846196934033,16.7248650799055,15.9883817454402,16.0582932158563,16.5473767753366,16.0746342730588,16.5821854813654,15.831060636516,15.8700265853207
"FT00020",15.2896351178405,13.4023761049424,13.882033377069,15.3164500055088,13.0182813217962,13.6002851524231,13.6253336462711,13.3842365950977,13.7173108753897,12.7377401717161,13.6589361914605
"FT00021",15.166364815089,15.6403838307698,15.5934935951645,15.1154658455779,15.3090702694142,14.8171399600107,15.5714033833958,15.8630982644256,15.3752060099419,14.8534922148409,15.1064854582845
"FT00022",13.3651306530556,13.1952984584016,12.7030340974508,14.1028020185059,11.2542249210654,11.1457697236678,14.5637364638793,9.49274930805956,12.354524451386,10.2791384054133,15.4477641576049
"FT00023",16.5851282945341,16.578604219412,17.0987024046657,15.9839866578005,16.6047823873871,17.0213633070443,16.8380677064174,16.916369574564,17.7423708199369,16.3277314105665,16.6533136898368
"FT00024",14.121948530635,14.3282801342347,14.6244910367118,13.9654697281116,14.2602490270666,14.4322208227666,14.4426584866421,14.3125781243755,14.7199225382999,14.2064277516849,14.2793302658752
"FT00025",14.4602951806311,15.2006095229867,14.4695341530301,13.8228510384394,15.0365670372306,14.216826468236,14.3244632887747,14.5697364699644,15.5211841535755,14.2181541706886,13.9094168844558
"FT00026",12.9314402504809,12.8973933937568,13.0674484637986,11.2923699586039,12.709309287673,13.5374119450802,13.4877865268747,10.9694309860995,14.484531576063,12.3697199908562,11.9057183062661
"FT00029",12.7893972513355,12.9223591004023,12.4285969326501,12.905098134383,11.5969252696611,12.520792782656,12.4557079188142,12.4173380366539,12.2371062061757,12.9984410717111,12.7347692248569
"FT00030",15.7958649576537,15.7838761340408,16.1380802274438,15.3741040065254,15.3525818552416,16.4948149115063,15.4234449286801,15.276633254615,15.9479922065557,15.6618804120288,15.2326576036201
"FT00031",11.5360196968518,12.1186866929935,12.02866339554,11.3789627790636,9.08472466797883,12.0997316113119,12.5810420074309,12.2040986773654,12.5329157053435,11.9243446225124,11.5986508562044
"FT00032",18.3619984034864,17.8073712565089,18.6159726796898,17.2372302379098,20.0050626133885,19.3318228027245,19.2403894218732,18.520385810829,18.6231772988929,18.4215835024899,18.6935908246849
"FT00033",17.172140687246,17.3444736008346,17.7641151499438,17.6000115613177,16.7190573494327,17.4334213686243,17.9758751406066,17.172504966376,17.8435292733823,17.2523244331807,16.8928982019307
"FT00034",17.033186405068,15.9052290141401,16.8135793537016,16.1998914959962,15.768321496858,16.1084446468339,17.7908039957271,16.6800233075131,16.8782346101992,15.4506580681704,15.4659125126088
"FT00035",15.7200406494883,16.3426171969126,15.9846745252295,15.6427471776308,15.9084032242995,15.4089452550572,15.7739597371267,15.6495817987811,16.4836104295535,15.2617966373861,15.1465195477757
"FT00036",13.335345188084,12.2678199846175,13.4924129514154,11.8151649727188,13.8565176472471,14.2788526582164,14.3469015417027,13.6886337663083,13.4648456760999,13.4652413178948,13.7974565134678
"FT00037",14.013141382413,14.5441217682427,14.4647626828497,13.5817621331102,14.318856929084,14.5960272579466,14.4866049467602,13.9964049832087,14.6986670583031,14.1244410467283,14.6447772551849
"FT00038",11.5713232868665,12.0307238047719,12.1307203132118,12.7618921905545,12.4698095574684,11.8943500236533,12.6023827134927,12.1999323881082,12.4768425867921,12.0643815976354,11.1768091000028
"FT00039",16.8109976872376,14.9178382766746,15.3489287624135,15.4401846251201,15.5396197415958,15.2342049221219,16.0548395597358,14.6897894600144,15.6719971789301,15.4116762294063,15.1063173732441
"FT00040",15.0775822727817,14.9451535008016,15.3747065288571,14.216720964142,13.4415394887975,12.288275186754,15.7015981368427,13.525884065891,14.178108634492,13.8994000472239,15.4330208871341
"FT00041",11.7080370206836,11.5909377912371,12.3765789028385,11.5258089664592,10.5805071921285,11.5338937800841,11.7764933117566,12.2406407931537,11.6384298427599,11.5396967250855,12.9768527207163
"FT00042",14.7041701877343,14.6859016269473,14.7679152380002,14.8297917498037,13.9195870783757,14.3199219117308,14.6090668508359,14.2485796460037,14.4893565124802,13.9240957672955,14.9261830803981
"FT00043",16.2095685860598,16.5204370859939,16.2655243370104,15.9760755972277,16.0141454015618,15.6074006560167,16.0921968210717,15.9850068821225,16.0648832884835,15.5803802136936,16.5878967579767
"FT00044",12.4042623695335,11.5859210449852,11.6901317605162,10.4059904055557,11.9678466568718,13.2852440849676,12.5097940919486,13.6657423697271,10.1561005717447,12.3358229671735,12.3440621460054
"FT00045",11.9999446719451,11.4688341333685,11.7517204152083,10.8705963334183,12.0583583089944,12.1475899637999,12.0571735608244,11.9308687163075,12.1703258744643,11.5758561419793,11.8742560846742
