"","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","IEM1"
"FT00001",12.7601869665389,11.0557761743985,12.991768835085,10.760213688887,12.4565442081526,14.2617575025402,13.7292761963114,14.1614356501329,9.59101131220572,12.5993034827817,12.8706111267668
"FT00002",12.4007269296471,13.0013432009248,12.1683765443819,13.0399623018781,13.4265439693796,13.2343448363737,13.3660218646983,12.4054001063406,12.3383890252982,13.5670630685735,12.9446273399312
"FT00003",11.9547490977105,11.1345991175271,14.2933620702641,12.4220158288536,9.73895883924203,11.5049295541055,13.7529135643414,11.9829653973162,14.0276717589866,13.3601723115051,12.4579293485622
"FT00004",21.3021318837487,21.1378737742701,21.4050186669977,22.767409090729,21.6319283102257,20.7949732665431,21.086254855262,21.6381076743497,21.8986779827136,21.6974755114224,21.475842406436
"FT00005",19.2517471698971,18.9951182933993,19.1414093826376,20.1599892051295,19.1712383125464,18.5626884162246,18.887522277162,19.2495885244713,19.6074924851817,19.5424343449915,19.2102028557597
"FT00006",16.2583937475976,16.3981594153985,16.3035630364953,16.2157989072978,16.0397242033475,16.7241932066014,16.1283296527978,16.0659747760912,16.7240249902109,16.341276380594,16.4672240812629
"FT00007",14.8748107319631,14.6661645159309,15.0511144415497,16.3261435797199,15.2169299347933,14.3063456742567,14.6786674860353,15.2239616093763,15.5054774117002,15.3304293527237,15.0848510843367
"FT00008",16.2269675725773,15.6901042535532,15.3428646589089,15.5027709822765,15.599916441077,15.4928475893971,15.3466212771831,15.6611364926666,16.6745285257831,15.7331915835962,15.5051753913026
"FT00009",15.834575052025,16.0024564097807,15.9649362657176,16.0112902631766,16.1228807409657,16.1065580369909,15.9196608604945,16.1929600466786,16.4062109136988,16.2103788741125,15.7948671017647
"FT00010",15.9716353084223,15.9216163985595,18.1685784448881,16.1390705188176,16.0290204911846,15.970741925367,15.9128726895807,18.4074057471473,16.0483278662984,16.2622273960661,15.9804892992965
"FT00011",15.5875349015204,15.8540884671939,15.366339098529,15.8493518468263,16.806669139305,15.684382920509,16.473569769267,14.9988385959294,15.6711072675308,16.1456889904694,15.8328581001655
"FT00012",17.5291869529659,16.9392503845587,16.5738585418625,16.9691855508991,17.8165247383725,17.6709754239168,17.7591076745213,18.3100931026432,16.8892939262428,17.6201758419437,16.7422950172204
"FT00013",18.256655263297,17.6128230819977,17.6052460045744,18.3960535932209,17.6264505681313,18.4212067439461,17.4786112109898,17.8771497494445,18.4643218788846,18.0941361980694,18.3755771306259
"FT00014",14.9997884016851,15.8881922956257,15.4491912006396,15.6208291904828,15.9244288645086,15.7364542658547,15.7537180662476,15.5336365641106,15.1424318533422,15.8166200409367,15.8576861224551
"FT00015",16.6837261337151,16.8441461224645,16.7809762994182,16.9932381294574,16.8386505636279,16.8805252919176,16.7948490502562,17.0753269843102,16.9677388960335,17.4519899166531,17.0537291431444
"FT00016",16.1859305168066,16.2992937860617,16.4101395203424,16.9946308449955,16.5357412896303,16.6983972298924,16.4218448254944,17.1320882116664,16.8879318769577,17.2580870081411,16.8209157566091
"FT00017",17.6079249900309,17.6356701782331,16.4371748713817,17.545188544912,17.3926588349642,17.6341592417405,17.6902164816604,18.6288393239664,17.3516383672477,17.6847453692048,17.6434562725414
"FT00018",17.6935649162459,17.9329772357386,17.0303401351518,16.6089096497308,17.1804958477115,17.9356545672447,17.3436386461772,19.0775761228483,18.077447520614,17.0312603932744,16.7006924697285
"FT00019",16.4374298180821,16.5641863315717,16.2304691307212,16.5421130640018,16.1022932844669,16.1820181294975,16.4614287403966,16.1366457222106,16.1180835222043,15.9156175436372,15.9932683595923
"FT00020",15.1480228404416,13.2826605187897,13.6680080213391,15.1490876918745,13.1110319506251,13.7050717622676,13.554562872861,13.4358692414742,13.3333909838384,12.8057750265728,13.7650073137645
"FT00021",15.0258942646296,15.5006774307038,15.3530819117226,14.9502996788314,15.4181419555436,14.9313021151862,15.490524610873,15.9242936667411,14.944884974169,14.9328277306648,15.2237978056129
"FT00022",13.2413430953457,13.0774325757374,12.5071858871988,13.9487011939876,11.3344072748346,11.2316449395446,14.4880915717947,9.52936968343033,12.0087462058806,10.3340413693643,15.5677267709678
"FT00023",16.4315171867059,16.4305172454173,16.8350842613234,15.8093301945087,16.7230855619712,17.1525084217155,16.7506098059174,16.9816282034004,17.2457976108778,16.4149411370708,16.7826382322756
"FT00024",13.9911513417342,14.2002939889872,14.399018887821,13.8128695287283,14.361848234506,14.5434172775171,14.3676424805954,14.3677920530729,14.3079415665274,14.282307164916,14.3902191788784
"FT00025",14.3263642322071,15.0648313695703,14.2464510419159,13.6718092284911,15.1436972346551,14.3263633662979,14.2500611954426,14.6259424437311,15.0867774837026,14.2940962171029,14.0174331632382
"FT00026",12.811669524116,12.7821885227784,12.8659819185181,11.1689786269307,12.7998586005411,13.6417141334458,13.4177301811824,11.011747986926,14.0791387230198,12.4357891752525,11.9981744745123
"FT00029",12.6709421242274,12.8069312253699,12.2369798397156,12.7640845783259,11.6795492416475,12.6172621885218,12.3910122492865,12.4652406584604,11.8946142607605,13.0678683829732,12.8336635490581
"FT00030",15.6495639901749,15.6428880011641,15.8892724146646,15.206111709638,15.4619635459597,16.6219031096741,15.3433346609547,15.3355662387306,15.5016400392816,15.7455336932429,15.3509497652526
"FT00031",11.42917332617,12.0104375534758,11.8432122521622,11.2546252506692,9.14945010330049,12.1929568519129,12.5156953453758,12.2511786812846,12.1821446480913,11.9880349666957,11.6887224325179
"FT00032",18.1919299622535,17.6483084253275,18.328962119579,17.0488796258408,20.1475915764128,19.4807693983958,19.1404537230165,18.5918322862803,18.1019520912787,18.5199769178782,18.8387595355473
"FT00033",17.0130926830398,17.1895455636437,17.4902380484469,17.4076968504133,16.8381746925179,17.5677412819743,17.8825074022855,17.2387516940117,17.3441248430416,17.3444725986269,17.0240832844386
"FT00034",16.8754253924872,15.7631569069697,16.5543570766385,16.022875848087,15.8806651848041,16.2325559640226,17.698397527669,16.744370178466,16.4058468324495,15.5331831679871,15.5860160605479
"FT00035",15.5744419651496,16.1966381569516,15.7382318349864,15.4718194262066,16.0217449447805,15.5276671139345,15.6920288751517,15.7099535142103,16.0222673874676,15.3433129899793,15.2641427876029
"FT00036",13.2118335027214,12.1582387246399,13.2843945435104,11.6860610782071,13.955240412057,14.3888674517119,14.2723829027832,13.7414406919489,13.087991776769,13.5371619039897,13.9046033422406
"FT00037",13.88335196302,14.4142076359332,14.2417531355697,13.4333546932002,14.420873697001,14.708485798074,14.4113606802501,14.0503992042392,14.2872809845868,14.1998825523324,14.7585041177733
"FT00038",11.46414993508,11.9232603862817,11.9436957138773,12.6224434408381,12.5586525198567,11.9859928532936,12.5369252065724,12.2469963196471,12.127640903143,12.1288199077177,11.2636047822139
"FT00039",16.6552945818667,14.7845859533971,15.1122876415331,15.2714702676241,15.6503340107968,15.351580452824,15.9714497916675,14.7464585646843,15.2333695563599,15.4939931193124,15.2236284152755
"FT00040",14.9379340243532,14.8116571866048,15.1376679809223,14.0613753512881,13.5373056816765,12.382953105873,15.6200431252175,13.5780631486456,13.7812919421531,13.9736395631868,15.5528690087662
"FT00041",11.5995974291832,11.4874027239571,12.1857637945292,11.3998668549099,10.6558895464609,11.6227593894428,11.7153255223014,12.2878617663489,11.3126936424469,11.6013325868003,13.0776269913305
"FT00042",14.5679804741475,14.5547210580927,14.5402318557211,14.6677471339124,14.018759190473,14.4302531329921,14.5331865100917,14.3035466864473,14.0838286191887,13.9984671881103,15.0420952545865
"FT00043",16.059435904316,16.3728696849777,16.014751662878,15.8015055778181,16.1282404974841,15.7276515614132,16.0086130172207,16.0466725738343,15.6152595753572,15.6635981858113,16.7167132925236
"FT00044",12.289374353563,11.482430789365,11.5098999068234,10.2922845122643,12.0531133119482,13.3876033864836,12.4448174956998,13.7184609867535,9.87185178089133,12.4017111006883,12.4399223584893
"FT00045",11.8888014379466,11.3663897466409,11.5705390223974,10.7518137073992,12.1442698274321,12.2411839403836,11.9945479018723,11.976894675354,11.8297029759739,11.6376851384768,11.9664679269269
"FT00046",14.6115354563628,14.4919858864145,14.4624184556899,14.7605603618085,14.1793883627002,14.6029365294489,14.9106872823593,14.6477457344197,14.2675785949641,14.598670282883,13.3706232999806
"FT00047",12.0260059682306,15.0225786816573,13.881644396849,12.3730068428134,12.0807689324116,11.9182473369796,16.6976705044568,8.82165957825388,14.0972403349286,11.2385736059729,12.8603666026536
"FT00048",13.2070580600569,12.8219605627811,12.2918379696207,8.87438324272923,12.2293646355356,13.2039158034225,14.2260160889735,7.73549672682677,12.0252362161471,6.33537138406739,13.679407008436
"FT00049",15.1296964186508,14.7837563554298,15.5697568251264,15.4894091524554,15.2875842672305,15.1553562774711,15.8726813541096,15.3111372703191,15.0295791067636,15.14717592524,17.5977078061226
"FT00050",13.9025674920904,12.8205803645917,14.182741810796,13.5814965524221,13.6382365668732,13.0322734919989,13.8683353922634,13.7523236464276,13.0406709672056,14.2772187600431,16.4638934267734
"FT00051",15.67020453797,15.4972522808905,15.7010902001691,16.0439941530141,16.3741968809224,16.05895481865,15.9212078287439,15.9957870836174,16.0369014956898,15.819233205723,16.5034299358516
"FT00052",16.1305325192255,15.8023183623899,18.1156000326551,16.5241768408409,15.4757399839936,15.242804192287,18.9153776759918,16.3841940542769,17.7015885289199,17.1755532891326,16.7927462437534
"FT00053",19.4362513663574,18.926822144153,17.3694404835136,15.2047027448161,17.6848396179682,18.7336084264373,20.2810230240051,13.8801350668114,18.0920490360259,12.54079329629,19.8431562019355
"FT00054",16.9003584209525,15.5674777728469,16.6041663085514,14.547249019377,15.0764122472955,16.3559429492283,17.2414531387192,14.2555277627734,17.2301772074688,14.7636780464021,16.5557760693594
"FT00055",14.4160139800068,15.2250064972334,14.8867243632911,14.5846195668822,14.7112712013467,14.9181067805416,15.2198292262784,14.5603907994121,15.162165205412,15.0262249048199,14.8259064901595
"FT00056",15.4072598266779,15.6884984239662,15.7027142062195,15.8915348486584,15.8160909064769,16.1550244773934,16.3590690995809,15.7763734000058,16.3412709737386,15.7941852982426,15.8083694558283
"FT00057",15.5473862003121,15.6284939856361,15.8148813115391,15.815652812476,15.5374025511494,15.9418925439794,16.2604599616974,15.886186387277,16.0404221518774,15.9404237090289,15.9020231305624
