"","x"
"1",0
"2",0
"3",1
"4",1
"5",1
"6",1
"7",0
"8",0
"9",9
"10",0
"11",0
"12",0
"13",0
"14",2
"15",0
"16",0
"17",1
"18",0
"19",16
"20",0
"21",0
"22",16
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",3
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",1
"42",4
"43",0
"44",0
"45",1
"46",1
"47",0
"48",0
"49",0
"50",2
"51",0
"52",0
"53",0
"54",0
"55",1
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",2
"67",0
"68",0
"69",0
"70",14
"71",0
"72",1
"73",12
"74",0
"75",0
"76",0
"77",12
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",11
"85",16
"86",0
"87",0
"88",12
"89",0
"90",0
"91",0
"92",0
"93",9
"94",32
"95",32
"96",32
"97",1
"98",28
"99",32
"100",9
"101",0
"102",0
"103",32
"104",0
"105",0
"106",0
"107",1
"108",20
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0
"119",6
"120",0
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0
"135",1
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",5
"149",0
"150",0
"151",0
"152",0
"153",8
"154",16
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",1
"163",0
"164",0
"165",0
"166",4
"167",0
"168",0
"169",0
"170",14
"171",0
"172",5
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0
"179",0
"180",6
"181",4
"182",12
"183",0
"184",12
"185",0
"186",0
"187",0
"188",1
"189",0
"190",0
"191",0
"192",7
"193",1
"194",0
"195",5
"196",0
"197",32
"198",1
"199",0
"200",0
"201",2
"202",0
"203",0
"204",1
"205",0
"206",0
"207",0
"208",0
"209",0
"210",0
"211",0
"212",0
"213",14
"214",14
"215",4
"216",45
"217",0
"218",4
"219",6
"220",1
"221",1
"222",1
"223",0
"224",0
