"","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","IEM1","mz","rt","isotopes","adduct","mass","zscore"
"44",14.7481323465356,14.6226010280462,14.6888833692209,14.9236303487896,14.0790799207711,14.4912850007857,14.9885386214947,14.5914559728773,14.6783973606868,14.5211100874449,13.2675912428952,77.0394297568438,493.299285888672,"","[M-H-CO2]- 122.035","122.035",-2.6080713157061
"47",15.2711373703028,14.9170012016053,15.8135613896192,15.6605312295937,15.1794361779419,15.0394810428974,15.9555554346726,15.2522981641852,15.4623388141573,15.0667016147492,17.4621024573985,78.9187984720557,39.5068283081055,"","","78.9187984720557",2.67141703592081
"48",14.0325365491075,12.9361312582543,14.4048273082981,13.7315406165837,13.5417563643644,12.9326309814392,13.9407444275695,13.6994748987262,13.4161623174222,14.2013663806219,16.3370250849364,78.9192948938944,48.1278953552246,"","","78.9192948938944",2.60208748514291
"230",11.4137652798638,12.0675975135951,11.8830514575635,11.0604823132907,11.2549500427699,11.9300364529614,10.0074735565959,10.2093239080619,10.962935089579,11.9646389130502,14.0314940647389,112.041529081243,51.7721633911133,"","[M-H-C6H10O5]- 275.11","275.11",2.31503224920023
"331",18.4543021533984,18.4132002201075,18.4516184149422,18.7145769282313,17.860125963084,18.110561051524,18.7854705607281,18.2810228928772,18.5119986551094,18.197688563629,17.3837415480017,121.029542101298,493.299285888672,"[29][M]-","[M-H]- 122.035","122.035",-2.26678048642041
"483",14.4824029051045,14.2503515010253,14.708568509858,15.3179767992064,13.92099017318,14.2801403244174,15.4460745389136,14.1259362816345,15.8936844626648,14.6024789223122,12.2242486257543,137.035522080832,204.253494262695,"","[M-H-CO2]- 182.025 [M-H-C5H8O4]- 270.085","182.025;270.085",-2.33401996045187
"595",14.3155552951976,13.5632843674833,15.2393702182681,16.9770093084902,13.9871778451319,14.6336627591491,15.5551530872184,13.4026459157325,15.9149122465964,13.6999811628196,20.5174558942757,147.066478724004,174.421508789062,"[62][M]-","[M-H]- 148.074","148.074",2.54449030548376
"613",12.6279382685979,12.3814549159614,11.7071609066973,12.4259036182132,12.8597395010909,10.7611252232516,12.7336391056322,10.8607016971291,12.1021694965687,10.5426423463385,14.5057348601927,149.045743791383,76.3016204833984,"","","149.045743791383",2.06763138551994
"630",9.33985968430059,6.60844651952212,8.12819902683802,7.30904320365369,7.05749404923443,9.2798951854708,6.79419012547705,7.67770091305784,8.69393993658484,7.80957825471625,12.1443991490526,151.076357321393,545.008972167969,"","[M-H-CO2]- 196.074","196.074",2.44458474457495
"631",13.3398688010795,13.1130623177678,11.7616908286489,12.895310616511,12.6732257140157,12.9720206722158,13.1091103538949,12.8564525368739,12.4226330572335,13.4767394137384,11.1124594990222,151.149462670442,861.900115966797,"","[M-H-CO2]- 196.146","196.146",-2.25708043364757
"644",10.1666442266809,9.15962737670838,9.64249760784576,10.4841773050558,9.65668006879258,11.8046311115361,10.2720158672692,10.0228841118212,10.1532239821279,10.2483254173427,12.3208361995029,153.092237403758,716.880693359375,"","","153.092237403758",2.11579342966766
"658",16.9673288710711,14.8825178151475,17.4731560950451,15.5318997176342,16.3774824087342,16.0272934320499,16.2387730954047,14.0583224513609,17.3592523525832,16.5563291123913,9.4414681647556,155.071282190022,600.86181640625,"","","155.071282190022",-2.68984416686816
