"","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","IEM1"
"FT00001",6937.4366,2128.728398,8145.39437,1734.391275,5620.739385,19643.40628,13580.75623,18323.85778,771.2267661,6205.378445,7489.279033
"FT00002",5407.428353,8199.630598,4603.056847,8422.088393,11010.13066,9636.842668,10557.80178,5424.97249,5178.752963,12136.48537,7883.537032
"FT00003",3969.520682,2248.269268,20078.4749,5487.813846,854.5131239,2906.222721,13805.09853,4047.920939,16701.28814,10515.08077,5626.138483
"FT00004",2585715.082,2307459.306,2776851.636,7139586.503,3249819.838,1819326.78,2226359.062,3263769.348,3909839.575,3400877.267,2916572.298
"FT00005",624242.5487,522516.9432,578280.2811,1171551.712,590361.1718,387191.6772,484965.3937,623309.2186,798809.7881,763587.7036,606523.0111
"FT00006",78390.63805,86365.01598,80883.79321,76110.02678,67365.58839,108263.9351,71632.64795,68602.55919,108251.3124,83026.04643,90600.04091
"FT00007",30044.44668,25998.92796,33949.77615,82159.71631,38084.85902,20259.98765,26225.2242,38270.93717,46517.22491,41202.07436,34753.0285
"FT00008",76701.52133,52867.89459,41558.75051,46430.04254,49664.12389,46111.77528,41667.10591,51816.95049,104600.377,54470.65457,46507.4878
"FT00009",58436.21244,65647.68015,63962.39173,66050.88462,71362.60903,70559.76018,61986.26089,74914.63927,86848.35567,75824.62693,56849.77827
"FT00010",64260.08677,62070.33873,294636.8688,72167.94325,66867.63589,64220.30629,61695.28812,347681.2515,67768.53043,78599.22114,64655.67119
"FT00011",49239.71877,59231.97074,42240.49435,59037.8207,114633.4962,52658.65019,90999.4225,32741.63159,52176.30892,72499.77968,58366.70885
"FT00012",189152.0587,125667.3537,97550.29004,128302.126,230838.5644,208686.1636,221831.9548,325002.9083,121390.3259,201465.8578,109630.9043
"FT00013",313184.9289,200441.6901,199391.724,344956.1828,202344.0033,351023.1719,182635.9454,240745.574,361671.8729,279819.3486,340094.7313
"FT00014",32763.19431,60648.83429,44737.3196,50389.27891,62191.45995,54593.98039,55251.19571,47434.08719,36168.14167,57713.45345,59379.8621
"FT00015",105269.3656,117650.3529,112610.0685,130459.1067,117203.048,120654.7587,113698.1339,138097.4337,128173.5362,179296.763,136045.4464
"FT00016",74550.50562,80644.79416,87085.17495,130585.1071,95006.6771,106345.3355,87794.61458,143639.0222,121275.7753,156747.9455,115771.11
"FT00017",199762.3247,203641.2327,88732.49234,191261.7088,172072.716,203428.0706,211488.0295,405358.6276,167249.0357,210687.5252,204743.237
