"","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","IEM1"
"FT00001",16.2498527292376,16.4025158978641,15.8706614133155,17.2493138854659,17.1666562926643,17.0630997117323,16.3604306209145,17.1661698351137,17.9615188307903,16.98754250234,16.8091411329335
"FT00002",19.1157463805234,18.8864273677489,18.6109261670326,19.0494388050818,19.020488412786,19.0781779520013,19.0870097629308,19.051707618538,19.1127422930299,18.7816987745628,19.0521446230049
"FT00003",13.0050781893709,12.7690860356102,12.8228285796567,11.9795521418066,11.9767039116257,13.0020890716239,13.1789413136987,12.7492188324675,12.4087859794885,12.3422690879928,12.7881481067923
"FT00004",17.4184396597806,17.5498431002602,17.3974876479961,16.5779167603021,17.6507227117735,17.2915944747284,17.1335158212559,17.674604317918,17.7097179828985,16.9133508977908,17.53588624483
"FT00005",18.6010001072876,18.5292426479531,18.6065284271949,18.7082232706103,18.0587412507026,18.3933749132687,18.5095583767302,18.1657431796321,18.8800795877401,18.390375033812,18.2856640140782
"FT00006",23.5995657155315,23.5255214593325,23.5996543231086,23.0716623467959,22.7924322108867,23.5008903368586,23.8585224565536,23.2415632369278,23.7360726112019,23.4448375975988,23.2284959513678
"FT00007",22.2453181291384,22.3271149949526,22.0442438799838,21.8892526560481,21.7306625359089,22.6129640864901,22.883604006254,22.0512898717666,22.4451791256,22.1490307909823,22.0460751197861
"FT00008",20.7193734180083,20.6584567851071,20.6272402564121,20.3642453535944,20.2167276245173,20.2125069137855,21.7535114305421,20.3686377586946,21.3891677105252,20.5229021359852,20.50265655661
"FT00009",20.0348849218353,19.9894615240112,20.053722210151,19.3969218245956,19.5579867050126,19.6789241573856,21.1002444297522,19.6300952990613,20.7374510357407,19.8756809797573,19.7306040365721
"FT00010",16.5459131361818,16.3873479728515,16.5025100285324,17.7826074970297,16.4890651396184,16.4879117442269,16.3062066040802,16.4519294591812,16.7985913632253,16.5776711344661,16.63863705762
"FT00011",21.0608213225735,20.9337988041533,21.1460858753011,16.2076617429477,20.440062750644,20.9438914594832,21.693448815373,20.6456015569252,21.4288112231684,20.7377084345828,20.8244510325244
"FT00013",21.2120679828099,21.1939826393611,21.317053914473,20.7158196243857,20.6751977255149,21.108075728554,22.3379669433979,21.0553227549798,21.3974573068267,21.002130872217,20.9465668838888
"FT00014",13.9012943671288,13.5305542685343,13.7324021953338,13.6161725702121,13.8495179147131,13.6618508187071,13.6158009884501,13.9239356570691,14.034697481618,13.5113644229678,13.6586663869975
"FT00015",17.9697600160831,17.9076136693068,17.810538166668,17.878829580376,17.2910473462648,17.7770390655136,17.9518258376339,17.6390106660322,17.306011476444,17.2561865403515,17.7127052187096
"FT00016",17.5450190235608,17.5030105846512,17.6002572711661,17.0144188163159,16.7676682472702,17.5513140453652,17.8395019892866,17.1884637847137,17.6094465441891,17.4450854777981,17.2212442186174
"FT00017",11.8742513358105,12.2320921436615,11.0921641890277,11.1092366153992,12.3816907762397,12.1153177161868,11.0453706333379,11.5081878847615,12.3209870299483,9.92402177851181,11.8680263430109
"FT00018",10.0902867273401,11.2197446152541,11.8635355366653,11.2771667327732,11.2870834266547,10.6278443956772,11.8903778571903,9.85902377852883,12.3146137940237,14.0059778820775,13.4048236073441
"FT00019",15.4531361576585,15.4822840460034,15.4463433945647,15.3757678998987,14.8568248448425,15.357944728191,15.4513062897296,15.2177166897256,14.7780561313716,14.8950508099169,15.2204690832382
"FT00020",13.4823701216573,13.6047187424896,13.3815204578732,12.5080536647636,13.7466384943425,13.2193926184247,13.0382291871726,13.6141230506066,13.7199059415297,12.9365147458311,13.3973624883761
"FT00021",15.2970640020971,15.3353299236734,15.1977329741401,15.2125164274477,14.5802693159847,15.1037121857593,10.8170951095535,15.0021538624813,14.5005711821385,14.5591371434131,15.0899983278315
"FT00022",12.8462534334243,12.4626790046727,12.833849941373,11.7475248175532,12.1219998166912,12.9446624757282,11.9595229649886,12.7348759579599,12.975326328308,12.2625481443469,12.5994260745346
