"","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","IEM1"
"FT00001",16.1236468159136,16.3111769810982,15.8095568671743,17.09470025288,17.248910603918,17.0749063199446,16.334803799689,17.1712091636921,17.7370168430953,17.071805319058,16.8677054465297
"FT00002",18.967282251585,18.7812565617526,18.5392711699857,18.878689814604,19.1116253906244,19.0913788695537,19.0571120543521,19.0573004686375,18.8738511015047,18.8748610928485,19.1185237296801
"FT00003",12.9040731034734,12.6979802068554,12.7734586699724,11.8721738376203,12.0340904821113,13.0110857119884,13.1582979467352,12.7529615137664,12.2536878976658,12.4034900890825,12.8327029778662
"FT00004",17.2831578130728,17.4521151865567,17.3305045803695,16.4293211727885,17.7352964351029,17.303559187165,17.1066780468054,17.6797929033454,17.488363267513,16.9972457040343,17.5969825931269
"FT00005",18.456533800645,18.4260608578855,18.534890362139,18.5405327538568,18.14527000146,18.4061019895309,18.480565182451,18.171075944578,18.6440964598533,18.4815962802422,18.3493726445886
"FT00006",23.416277608568,23.3945174316683,23.5087919369138,22.864860293745,22.9016425184354,23.5171514974645,23.8211506963679,23.2483860678186,23.4393941659385,23.5611303487839,23.3094257805902
"FT00007",22.0725479054048,22.2027844037894,21.9593700689792,21.6930490916505,21.8347853568885,22.6286108571237,22.8477593489554,22.0577632840833,22.1646356272834,22.2588959890688,22.1228853057836
"FT00008",20.5584545783554,20.5434182704942,20.5478221325426,20.181711139776,20.3135964018848,20.2264927167257,21.7194369393887,20.3746172089358,21.1218233555521,20.6247012950435,20.5740893560993
"FT00009",19.8792822224121,19.878148370974,19.9765122210913,19.2230581820068,19.6516991146108,19.6925407541055,21.0671932097478,19.6358579415836,20.4782525224573,19.9742697463969,19.7993469469386
"FT00010",16.4174078436155,16.2960935200697,16.4389727657037,17.6232137054725,16.568072761904,16.4993203579894,16.2806647188333,16.4567591141998,16.588624868351,16.6599008780692,16.6966073221772
"FT00011",20.8972505976779,20.8172270222102,21.0646701140784,16.0623849235658,20.5380016418803,20.9583833352315,21.6594684057225,20.6516623131069,21.1609713618035,20.8405730911236,20.8970049882019
"FT00013",21.0473225873983,21.0759619998271,21.2349798993712,20.5301340866659,20.774263269786,21.1226812096478,22.3029769667485,21.061503789579,21.1300093397446,21.1063071357425,21.0195463003891
"FT00014",13.793328739303,13.4552081339641,13.6795302839672,13.4941244750255,13.9158781037825,13.6713039733388,13.5944733286923,13.9280231901387,13.8592770446826,13.5783844539009,13.706254209318
"FT00015",17.8301962912402,17.8078934773192,17.7419647894872,17.7185733054794,17.3738976792636,17.7893396755414,17.9237062702415,17.6441888025296,17.0897027103459,17.3417819043367,17.7744176176276
"FT00016",17.4087540870688,17.4055434621136,17.5324935085531,16.8619106576148,16.8480108008517,17.5634584676592,17.8115583648903,17.19350965794,17.3893451268967,17.53161783173,17.2812443303994
"FT00017",11.7820289163311,12.1639766147305,11.0494576098346,11.009659354543,12.4410178478367,12.1237007656947,11.0280692709747,11.5115662470083,12.1669863519073,9.9732476172765,11.9093754405658
"FT00018",10.0119196262136,11.157266436545,11.8178590562894,11.1760842360774,11.3411656694336,10.6351982057727,11.8717528836361,9.86191800949355,12.1606927754005,14.0754513298744,13.4515270223034
"FT00019",15.3331180138025,15.3960695248513,15.3868725396277,15.2379477324076,14.9280115613583,15.368571474762,15.4271035121155,15.2221840272476,14.5933444147837,14.9689343004942,15.273498343771
