"","genes","p.value","FDR","perc_enrich","size","MaxZscore","DAM"
"NT5E","NT5E",0.877899021013947,1,0.0357142857142857,28,2.43725501440025,"HMDB0000133"
"DCTD","DCTD",1,1,0,5,0,""
"CMPK1","CMPK1",1,1,0,10,0,""
"NT5C1B","NT5C1B",0.854495101561439,1,0.032258064516129,31,2.43725501440025,"HMDB0000133"
"NT5C1A","NT5C1A",0.854495101561439,1,0.032258064516129,31,2.43725501440025,"HMDB0000133"
"NT5C","NT5C",0.854495101561439,1,0.032258064516129,31,2.43725501440025,"HMDB0000133"
"DCK","DCK",1,1,0,17,0,""
"NT5M","NT5M",0.854495101561439,1,0.03125,32,2.43725501440025,"HMDB0000133"
"HMGCL","HMGCL",1,1,0,7,0,""
"ACLY","ACLY",1,1,0,8,0,""
"EP300","EP300",1,1,0,3,0,""
"PDHB","PDHB",1,1,0,11,0,""
"ACAT2","ACAT2",1,1,0,5,0,""
"CREBBP","CREBBP",1,1,0,3,0,""
"SAT2","SAT2",1,1,0,7,0,""
"MLYCD","MLYCD",1,1,0,4,0,""
"ALAS2","ALAS2",1,1,0,9,0,""
"ACACB","ACACB",1,1,0,9,0,""
"PC","PC",1,1,0,11,0,""
"NAT1","NAT1",0.408701636399999,1,0.0769230769230769,13,2.34448835038138,"HMDB0015086"
"NAT2","NAT2",0.408701636399999,1,0.0769230769230769,13,2.34448835038138,"HMDB0015086"
"ALAS1","ALAS1",1,1,0,10,0,""
"GTF3C4","GTF3C4",1,1,0,2,0,""
"ACOT12","ACOT12",1,1,0,4,0,""
"CHAT","CHAT",1,1,0,4,0,""
"NCOA3","NCOA3",1,1,0,3,0,""
"KAT2B","KAT2B",1,1,0,2,0,""
"CRAT","CRAT",1,1,0,7,0,""
"SAT1","SAT1",1,1,0,9,0,""
"AANAT","AANAT",1,1,0,7,0,""
"ACAA2","ACAA2",1,1,0,51,0,""
"CDY1","CDY1",1,1,0,2,0,""
"FASN","FASN",1,1,0,36,0,""
"KAT5","KAT5",1,1,0,2,0,""
"ACSS2","ACSS2",1,1,0,11,0,""
"ACAT1","ACAT1",1,1,0,6,0,""
"NCOA1","NCOA1",1,1,0,3,0,""
"HMGCS2","HMGCS2",1,1,0,6,0,""
"PDHX","PDHX",1,1,0,1,0,""
"ACSS1","ACSS1",1,1,0,12,0,""
"CS","CS",1,1,0,5,0,""
"CDY2A","CDY2A",1,1,0,2,0,""
"ACAA1","ACAA1",1,1,0,63,0,""
"PDHA1","PDHA1",1,1,0,13,0,""
"ACACA","ACACA",1,1,0,9,0,""
"HADHB","HADHB",1,1,0,54,0,""
"GCAT","GCAT",1,1,0,5,0,""
"PDHA2","PDHA2",1,1,0,11,0,""
"ALDH6A1","ALDH6A1",1,1,0,46,0,""
"GNPNAT1","GNPNAT1",1,1,0,4,0,""
"HMGCS1","HMGCS1",1,1,0,5,0,""
"DLD","DLD",1,1,0,16,0,""
"DLAT","DLAT",1,1,0,11,0,""
