"","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","IEM1","mz","rt","isotopes","adduct","mass","zscore"
"249",14.6632533333191,14.5837288825775,14.617797757079,14.4982928577004,14.1129307789543,14.4438430026616,14.7317525901443,14.4822524930695,14.6127481442394,14.8125719941471,15.1419162899403,89.0707109268462,345.013916015625,"","[M+H]+ 88.0635","88.0635",2.0962030378201
"373",15.3382615181456,15.468261425921,15.1402937968514,15.4594014732792,14.9780585212981,15.1329844793544,15.1223593970328,15.1426602570747,15.1380896074301,15.0529574349843,15.8378916910158,101.008151787887,1018.23297119141,"","[M+Na]+ 78.0205 [M+2Na]2+ 156.04","78.0205;156.04",2.33229803649179
"563",12.6106751656623,12.3608229907076,12.8439793608378,13.5524851146151,12.1361993815341,11.7209020784859,12.130733569347,12.4496423966143,11.7057360937674,12.5425895164104,14.7398601029488,113.059756535313,182.261001586914,"","","113.059756535313",2.42906285996058
"608",19.2621775604352,17.5245256480704,17.1767223617551,17.7861093604401,17.4293322659819,16.1704992654509,18.3064197020564,16.7490303943738,18.4634650442856,16.5317120922908,20.3526930134235,116.07053358002,110.662689208984,"[48][M]+","[M+H]+ 115.064","115.064",2.06579273986552
"611",13.6601510658409,14.0109733955808,14.015061210036,14.0025843727236,14.0171483857678,13.9831145190552,13.7188301784739,13.7731357158129,13.9720068533464,13.8178143434005,14.8025311961881,116.985659249469,1018.23297119141,"","[M+K]+ 78.0205 [M+2K]2+ 156.04","78.0205;156.04",2.7133320473443
"684",19.8681479933982,19.8292152748286,19.7786110085581,19.9079460875868,19.7023709231726,19.6899209976312,19.7702857346349,19.746903434779,19.8264508957633,19.6588648365547,19.5344225394499,125.11197855335,209.440997131338,"[56][M]+","[M+H]+ 124.108 [M+H-HCOOH]+ 170.11","124.108;170.11",-2.08604219665192
"694",16.7884477977573,17.0680856699959,15.7867451623573,17.7223152015675,15.7999855753748,16.7684743575941,16.9115803074262,15.9693731945181,16.4254641666966,16.5217301748072,14.509702616962,126.054774286752,269.769012451172,"","[M+2H-CH2]2+ 264.115","264.115",-2.20606511576193
"699",16.0638747793973,15.8189807951931,15.9541977362962,16.0633814250222,15.1605481571065,15.375470447797,15.8766104663637,17.2419840208121,14.211183398495,14.3668022790591,9.65798587551701,127.038778948053,676.488555908203,"","","127.038778948053",-2.7306537582496
"728",9.01211794174782,8.0291898318331,8.31377624594454,11.5915195153697,9.41823312987334,8.8746677139486,9.45482711436804,10.0232067732569,10.8696959972596,10.8473237713387,12.9984367864276,129.536301999193,257.364807128906,"","[M+H+K]2+ 219.109","219.109",2.02995976997889
"732",17.4789194241794,17.9365383014518,17.4305425700229,17.5028857175932,17.0048870031987,17.2738020475323,17.6422445637199,17.4317720194731,17.6117492987008,16.985468497529,18.2836266751802,130.007762431034,4.92210674285889,"","","130.007762431034",2.06860772859704
"862",11.3359278747731,9.31268261752517,11.2707650523352,11.3391957933082,7.95045893439226,10.5040392998523,12.2982947512963,10.8221689364153,10.0984381183938,10.2440536774802,15.4285950228147,138.091148123316,241.594009399414,"","","138.091148123316",2.37308880708099
"1051",16.9433671422352,16.7754514485512,17.0161981590025,16.7248346842132,16.9962883178719,16.9664415134714,16.477699029627,16.3664803882026,17.5076154436253,16.8975598651764,15.6820244718335,151.110992879635,547.376999267588,"[113][M]+","[M+H-H20]+ 168.116","168.116",-2.31097937988512
"1074",11.9927963575701,12.3186167187684,12.2313627450701,10.8701864361255,11.773409372927,11.9986473055509,12.1945333844482,12.8223670458879,12.8238756316087,10.3556337931335,15.8397777282112,152.015341974571,339.04699999998,"","","152.015341974571",2.54784456022817
"1104",15.2090500060573,15.1620195026842,15.1627900374685,15.2711819712545,15.043024716343,15.0571325340223,15.1943519205924,15.0539817146422,15.1742354181056,15.0097975088131,14.86500402349,154.090339262303,209.440997131338,"","[M+H-NH3]+ 170.11","170.11",-2.11851086394607
"1186",19.502900762865,19.6560863741923,19.8845641182531,19.346629250575,19.5740933115499,19.6162243962916,19.6413605389196,19.3726294736735,19.8708753269491,19.3364391134173,11.427336712788,159.091575103403,285.017014404287,"[133][M]+","[M+H-HCOOH]+ 204.088","204.088",-3.00639442877175
"1216",16.6997562075208,17.4738593351332,17.8093251316997,15.415019412397,16.3208759327664,16.584421856095,17.895414156853,15.4869396805096,17.6427307630312,18.1983282187807,13.7150545338359,160.132931145363,95.0825614013772,"","","160.132931145363",-2.1602822673084
"1221",12.991952698371,12.9644262202238,11.8881213423591,11.8722590881846,12.173140992767,12.5125089943645,12.2247545861682,13.621123108695,13.2661661595433,11.6157790620887,10.6079744788637,161.03640367669,269.437866210938,"","[M+Na]+ 138.05 [M+H-CH3]+ 175.053","138.05;175.053",-2.02252531259065
"1316",14.780403260543,14.8767073232918,14.9346440351044,15.1279304132502,14.7809500629421,14.8819785670328,15.00702559894,14.7900652225714,15.0064273495347,14.8895845445245,15.3566662308019,166.085906570271,477.932891845703,"","","166.085906570271",2.35615756182685
"1317",13.4153882904363,12.8572380757313,13.1561614269413,12.2831632983375,12.3385162564491,13.2182228533046,13.8793808363689,13.0056747943459,10.7519929932865,12.4222200778764,15.5369772499538,166.085875271344,543.564697265625,"","[M+2H-C5H8O4]2+ 462.198","462.198",2.16915484649496
