"","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","IEM1"
"FT00001",71400.51283,81311.79265,57431.58937,139964.3859,155754.0988,138057.1728,82654.38846,147587.311,218461.0936,137760.7445,119587.3652
"FT00002",512531.8916,450527.7864,380957.6683,482005.4103,566464.2527,558570.1179,545459.3104,545530.5514,480391.5009,480727.9276,569179.3239
"FT00003",7665.016082,6644.662496,7001.550217,3748.697865,4193.939929,8255.19004,9142.024353,6902.778682,4883.459774,5417.794996,7295.054181
"FT00004",159495.6789,179312.3321,164816.8914,88250.76554,218200.7349,161767.1548,141131.2598,209965.5196,183874.6752,130822.0049,198252.9205
"FT00005",359724.7256,352206.219,379802.6279,381290.9475,289914.9091,347367.1953,365766.9465,295147.3667,409668.2215,366028.4545,333973.1614
"FT00006",11194429.02,11026850.36,11935800.05,7638512.525,7835764.013,12005161.68,14821115.47,9964638.714,11375244.08,12376759.92,10395283.59
"FT00007",4410613.478,4827297.813,4077829.625,3390458.821,3740462.812,6484711.034,7548504.143,4365644.682,4701323.831,5018747.694,4567221.429
"FT00008",1544228.248,1528217.304,1532889.352,1189324.641,1303172.29,1226820.473,3453043.168,1359474.075,2281930.395,1616790.473,1561054.371
"FT00009",964406.7496,963649.0951,1031642.885,611951.6656,823665.545,847316.0985,2197136.711,814670.9514,1460724.347,1030040.581,912425.3138
"FT00010",87525.01865,80466.10168,88843.14018,201890.5287,97159.85806,92638.24861,79610.14771,89945.22754,98553.8676,103545.1804,106213.4779
"FT00011",1952986.57,1847607.686,2193297.548,68432.06791,1522490.338,2037520.77,3312452.66,1647289.069,2344699.103,1877749.38,1952654.115
"FT00012",NA,442462.5009,NA,NA,NA,NA,NA,NA,NA,NA,255901.6648
"FT00013",2167082.411,2210531.711,2468117.93,1514210.227,1793396.765,2283287.678,5174460.304,2188489.133,2294915.081,2257519.683,2125758.536
"FT00014",14197.29775,11231.0729,13120.45639,11538.15137,15455.98634,13045.85586,12369.27506,15586.64918,14861.34474,12232.09973,13365.75959
"FT00015",233036.4803,229461.6416,219211.6261,215686.0442,169849.5275,226529.5412,248641.2731,204847.222,139480.3835,166110.2881,224198.5804
"FT00016",174003.1728,173616.3705,189586.0791,119107.989,117965.9361,193699.1997,230045.2855,149886.3686,171677.9379,189471.0404,159284.276
"FT00017",3521.633152,4589.039835,2119.425603,2061.758092,5560.573028,4462.698932,2088.236319,2919.622739,4598.623441,1005.186592,3846.619574
"FT00018",1032.495391,2283.872562,3610.190013,2313.857393,2594.364854,1590.426743,3747.604218,930.535906,4578.606215,17263.6671,11202.45276
"FT00019",41278.9317,43119.99902,42845.98919,38643.75676,31173.04709,42305.90642,44057.60687,38223.81159,24719.19969,32069.94592,39607.83829
"FT00020",10643.30142,11820.14093,10297.44997,5389.509095,14387.27489,9598.143181,8293.734968,12573.68264,11980.66278,8195.881253,11144.4663
"FT00021",37077.54254,38966.1488,36087.69327,34544.28807,25711.58472,35466.34449,1783.07456,32917.28937,20443.11986,25379.11975,36171.68083
"FT00022",6871.845446,5379.585986,7055.035357,3196.386791,4640.557996,7932.827049,3931.297105,6834.473222,7196.835804,5125.132927,6397.637011
"FT00023",3453.746207,4850.484192,6464.85862,2417.685303,4400.704695,6786.050691,5048.74994,4942.081713,6118.383657,4881.439006,5736.915209
"FT00024",1937.96714,1918.121185,3114.594762,2722.676795,2775.302255,2098.890454,3304.951138,2519.204952,2761.442512,2202.05765,3586.74043
"FT00025",29194.41518,26994.17844,29153.21976,19671.34307,18531.08609,30625.34354,47522.04493,24637.58126,27977.48029,30169.87238,24975.30267
"FT00026",10383.99691,11288.21598,7295.010139,5965.890149,8617.559344,16897.22688,21465.7068,12557.87132,8252.38538,10431.46685,13331.03666
"FT00027",NA,4321.26068,4209.831887,365.9181902,4326.099997,2588.305063,149.0150393,533.9043837,5208.61549,1306.975269,4407.353473
"FT00028",34882.53184,33544.11681,30162.34591,7222.468357,36810.6211,4172.543854,4252.739996,4632.330944,5951.175307,30779.32182,57505.40558
"FT00029",66098.39754,54488.12538,63178.35816,45435.78961,49107.52286,78228.27771,51301.6258,74152.40366,77237.80228,68811.47993,67864.05346
"FT00030",4061.624747,5483.570473,4684.479754,8134.383127,8221.049629,6769.094195,5176.698041,5581.150811,10014.84014,7155.67399,5908.226527
"FT00031",73801.27879,77643.56916,87161.93023,86501.97747,57681.22774,71197.63984,76950.46745,252388.5097,87053.89612,77352.06949,74719.54162
"FT00032",6080.040947,5119.473559,4840.321276,6939.352627,9354.807873,6817.726264,9034.082751,8267.42147,7049.67556,8812.996778,2600.869965
"FT00033",790.5510901,1425.445925,NA,430.2949584,1154.649994,1869.367674,NA,1655.201048,934.9017921,649.3369567,3410.836017
"FT00034",215501.5804,210482.1656,206189.0018,6370.134758,5837.590873,219079.4613,244732.5328,209740.1987,5407.746113,4313.947202,214789.3008
"FT00035",35528.75501,29892.52839,31785.67701,20476.17097,28230.28358,34840.54924,56416.67023,26127.04072,35724.81323,22399.56174,25881.1047
"FT00036",256052.2523,260759.9953,86658.21192,88135.55436,65432.09686,236666.9356,444789.7934,207518.7748,178855.1928,188747.668,97911.45249
"FT00037",34792.27474,39085.20588,33844.53757,42132.70241,81934.92915,36715.92139,35542.94209,49348.79976,33630.78166,46887.85381,45863.74382
"FT00038",38941.86724,35973.41797,35651.59803,33235.17663,25762.9414,33917.05487,42131.25072,36733.53423,23599.63954,28221.95967,34891.21986
"FT00039",17705.59979,18700.32608,18031.8285,17183.87333,14251.87938,54499.21311,21908.03254,49558.7592,11805.13022,13398.44973,17171.80831
"FT00040",86661.70185,71596.98388,89779.01923,55273.63026,81166.03115,82680.99037,86498.07155,70168.1002,122765.1307,81138.26824,80772.65193
"FT00041",8763.176539,13439.8043,14929.68205,14795.34542,13320.23245,12937.95799,13318.01639,19321.57066,13204.32044,15930.82527,11022.86592
"FT00042",4581.326069,4093.812238,11061.02277,15195.93888,29321.73891,13877.34732,14877.86555,17703.95949,22853.1196,23954.53025,11787.54051
"FT00043",458263.8845,428847.5717,460707.776,422918.3404,3248.222899,1741.785939,515859.863,429198.8325,2965.52376,334191.2578,450803.6757
"FT00044",16551.29833,16661.49174,14145.54846,14952.75758,9577.190131,21297.45137,8340.53537,14659.2031,9838.326457,8349.440382,18658.59255
"FT00045",4774.525889,3098.376789,6211.462713,2976.598798,3371.14879,6480.224925,1255.815983,1013.879017,6618.687275,3662.869813,2267.262796
"FT00046",85237.52023,98943.32575,73229.70142,70032.52199,90281.78565,109467.5531,104273.9231,103054.5813,113656.0884,84752.87711,95262.80726
"FT00047",86765.12485,102951.0347,96820.73875,96917.18895,104603.0364,95459.72987,89824.2011,115930.0716,94334.10647,113548.1791,90426.59526
"FT00048",1905787.31,1852743.067,1787055.173,1066776.725,1898824.3,2221857.017,2289335.237,1765691.32,2101490.343,1476291.863,1899109.948
"FT00049",13989.97518,9951.212046,19068.01203,10464.24417,11483.08864,8704.12378,12474.23564,9322.53055,26670.33144,11409.74455,10036.58868
"FT00050",228816.6392,246282.3594,230718.0151,135859.5058,195876.3623,285215.1332,274616.7251,214290.2006,254545.0749,185316.2469,241668.7254
"FT00051",104543.2107,70799.75182,66908.09185,62446.22412,46584.0507,66586.11398,71592.4118,58699.71084,39609.62664,46719.61835,64556.19989
"FT00052",18314.00026,30956.18615,27867.36179,28262.83138,25850.76413,20780.5123,28962.42417,9300.591442,20798.89801,20790.26466,15790.31433
"FT00053",45458.33612,42798.61388,44714.45769,54603.00988,39428.39491,43752.05802,43120.53783,46505.02185,46406.68194,49599.48729,46192.38785
"FT00054",8093150.133,6949255.552,7919692.406,5034392.796,7361492.932,7530145.765,6923025.023,6479762.184,10304126.24,7504675.048,7920146.262
"FT00055",95958.72742,100492.7598,81209.94025,11155.42111,121536.2228,97025.2821,96732.80414,90589.94791,104340.635,73385.35216,108799.3955
"FT00056",191550.4429,186531.2267,156739.8748,85703.1829,138142.6625,205432.8643,229579.0765,170247.8091,255000.661,123669.938,164902.8182
"FT00057",274205.0255,206115.9804,322867.6657,184399.4139,307709.9112,233909.1073,316480.8727,196853.7633,389726.1234,310223.4435,343117.1039
"FT00058",22934.91422,12857.56598,15460.99049,21053.49183,21266.35182,18633.91189,21639.0245,25511.41485,19850.12941,19584.0688,20827.1178
"FT00059",29505.23034,68021.02822,68328.42269,65176.59335,48007.54226,63221.0163,28568.03453,59238.10104,35081.28918,19459.80302,60493.04076
"FT00060",4912.355431,4412.887939,3329.669927,1887.311237,4593.646217,3886.78884,3051.704041,5129.837478,4768.959445,3391.993738,4783.857193
"FT00061",9495.408801,11934.81646,9394.131632,9432.625642,13667.5628,9532.240067,5155.889304,10747.65187,9294.861915,9215.907693,11700.14235
"FT00062",33207.20176,34368.7284,32941.6667,32732.61541,49307.15305,30417.8501,32415.78359,32782.20853,33051.50967,33940.17092,28939.24063
"FT00063",9008.806275,10417.6819,13323.53396,7984.972836,10289.33442,11379.40694,11741.69187,10727.58494,10691.84703,10060.67797,11567.29006
"FT00064",10550.21786,8275.485429,11356.40257,11529.4186,9842.55462,9103.385488,10439.27162,10206.83723,11139.25855,10515.75425,11338.77962
"FT00065",390937.8279,332786.4907,388175.227,228884.6055,336039.9692,353015.3287,308969.5163,293268.9942,497045.1811,365335.0081,376042.3641
"FT00066",48659.18415,45532.36465,43656.95733,28426.80557,48019.03319,59215.2829,55953.1615,44544.00215,54667.05714,37528.12157,48365.22606
"FT00067",6735.011669,7944.724617,8070.857486,10787.81056,9534.86694,9624.926172,8136.26807,9870.073936,8565.052725,11117.54595,9569.306316
"FT00068",2342.510985,4116.893743,2319.611659,1354.993254,3717.752561,1692.556822,906.8862758,2037.6453,2090.514554,1457.010336,5810.134773
"FT00069",36715.56714,26410.41439,32318.27278,19290.8298,32104.28489,36080.74229,24871.27839,20131.22037,75396.42852,32207.39524,41795.79749
"FT00070",5066.68248,5466.1129,5468.403575,4810.000229,2724.938656,4845.820313,4697.986936,4545.749013,2638.34355,3281.158309,4717.718561
"FT00071",33317.56711,4694.61568,34731.29615,3369.394205,4049.450134,5025.899783,4416.930419,20492.96771,39322.20208,30572.19133,3980.332711
"FT00072",4489.191221,5056.110111,4348.414507,1655.127613,6930.987439,4701.125846,3242.847969,5072.921336,4678.328358,2974.063957,5805.510964
"FT00073",17659741.72,17065758.09,17806068.59,11996453.48,16882449.55,18386978.94,18953860.89,17412796.72,17849491.06,15522970.17,18109382.04
"FT00074",17488.8362,44112.1253,111382.9848,22784.15287,53730.26892,43335.58199,18159.87539,20031.612,61230.52064,36943.84139,35551.43194
"FT00075",119047.3053,156222.6424,89674.44844,116740.467,132803.663,157188.0727,160822.7817,86883.55411,107760.5527,95776.99891,179021.4701
"FT00076",55957.85108,50057.43704,77688.95399,47634.98735,54593.79612,83037.57421,47408.51037,47181.68134,61617.3787,49984.73405,127702.6811
"FT00077",27564.29475,36586.28943,46552.77269,27843.08882,21379.61741,28771.03314,41151.89045,24871.69213,25678.17732,25378.61762,55409.75338
"FT00078",33574.7559,35095.32489,141976.7245,34018.03158,29093.7112,39017.21551,31130.70692,29757.12532,31534.03347,40474.62575,45919.70119
"FT00079",21322.53616,19890.98742,17145.18536,21726.08691,26553.424,20521.6713,18408.38233,20343.7127,25105.40731,24302.49702,30516.72854
"FT00080",NA,NA,NA,NA,NA,NA,96.3307629,4385.335625,NA,NA,16356.37237
"FT00081",51399.35797,61878.12209,51390.51869,51120.30919,39469.07105,59619.33266,47854.63764,60879.30237,57624.85683,57838.45235,162160.296
"FT00082",37010.87401,37403.87823,35917.77828,35525.00989,39073.65488,35802.20853,30674.40376,27113.28056,29230.08879,36005.6515,51175.00904
"FT00083",30961.19894,30726.66308,31236.86853,32666.83688,29228.062,27365.44131,26536.89302,29922.67114,23725.50607,28970.12595,34566.66134
"FT00084",7414.744584,9573.119983,8876.438724,10977.4179,16062.21884,8005.089246,9257.821708,12178.82686,11376.31029,19441.74721,26012.09867
"FT00085",40546.41499,41738.81424,38240.77846,34013.02041,37046.94141,36197.39604,35011.58063,35767.18378,37835.26114,37074.2332,42409.33868
"FT00086",22692.32651,23900.9013,20542.39745,20699.13911,22114.60941,18472.65359,19986.14543,20580.29807,21455.38406,22194.88093,25447.20451
"FT00087",28068.05605,31191.47682,23063.21928,33332.44239,25892.87683,28933.02759,24919.40672,27049.09907,18390.45652,26283.47367,36270.75938
"FT00088",13331.22987,14738.08201,12411.55119,14765.65372,17042.39093,11827.29271,13614.33375,12040.95129,13573.24874,16270.9678,20351.04196
"FT00089",21663.82003,22719.23537,22265.3408,22926.42207,16740.21767,20538.02841,17454.31444,20356.54999,19574.08677,20026.40683,29017.84879
"FT00090",19085.80011,20081.77854,14352.08199,20922.9414,15066.88976,14475.69068,14626.98977,18870.0645,11927.67861,15679.36957,22909.1755
"FT00091",19753.47163,20905.3353,20546.89381,19847.19711,21371.76622,18250.0134,16400.30474,14391.69884,20343.86222,18266.53262,22556.5011
"FT00092",44511.20456,47690.62185,43144.71388,39291.99487,42126.34467,45605.38636,38694.03408,41600.16366,44636.22645,45585.02401,54056.46485
"FT00093",20732.09017,17488.04477,20486.33373,19165.03032,17285.63078,17295.71357,17095.704,17972.36596,15859.41672,14714.53209,25345.29075
"FT00094",64070.76328,62403.23994,56576.31712,47356.72517,65214.28107,60665.66879,57039.39906,59663.38247,58982.18462,62879.21828,71418.50954
"FT00095",25841.84778,27852.78126,23543.53881,21263.97844,24704.85991,22179.0863,22032.83924,20093.74013,21251.01453,24928.05888,29150.84512
"FT00096",12347.66091,15009.42214,20245.35311,19623.48885,14188.09389,14509.65352,13828.05399,16132.9706,12908.70081,15374.14602,19709.05242
"FT00097",206813.2903,246490.0817,207226.3756,217956.2636,361193.2917,209333.0743,240305.7581,141073.6809,222749.4768,223638.3234,148967.3413
"FT00098",10051.21047,10018.32244,15187.72946,10245.46271,5444.047961,3819.439305,6179.90513,4498.953175,15427.67024,4762.768869,6513.888685
"FT00099",3865.370529,13509.25411,50780.76141,14320.71182,4960.062136,18418.63483,15406.63624,5464.438591,7437.442191,12384.49561,8927.671648
"FT00100",17358.98502,20683.63863,18502.39196,9746.103813,18942.26401,19065.36305,20836.89706,24410.03324,18469.06045,15953.15721,17841.43452
"FT00101",13877.06318,10565.44852,10724.93273,9330.53853,11916.61562,12023.40768,12505.92206,14140.59901,13384.20551,12480.35397,14591.22668
"FT00102",5000.863731,5421.736114,2836.904933,2474.525337,3952.788095,2768.015843,2991.656223,3716.247183,3925.759798,1765.843278,3628.858985
"FT00103",5200.756381,6122.05088,5135.1524,6346.421925,6460.856181,5084.448686,6545.214095,6240.343147,6233.876247,6448.617956,6494.036478
"FT00104",11783.31962,13200.12254,32263.92487,3066.700569,5300.699325,6500.069481,7757.87832,8354.741017,1751.202861,4769.49582,5874.295147
"FT00105",6026.251429,6145.946997,8853.800156,5824.96906,8937.867025,8952.129168,8356.342515,6499.729265,6269.823433,6535.649881,7501.704153
"FT00106",905388.8368,884763.3457,930597.0513,572868.0618,883667.0305,953077.17,988613.9796,892378.0042,931164.0516,778362.4561,953134.9758
"FT00107",63347.98085,58985.41807,54743.59006,35233.72278,75710.8799,71471.18649,74214.19656,46083.8208,61454.41273,58496.51533,82134.62227
"FT00108",183433.3216,184054.0486,170055.5839,161469.1829,130794.3513,189136.7365,207472.1468,164006.3791,113620.6603,138578.0182,186264.3857
"FT00109",148693.7115,181870.0702,166762.318,95432.7495,178025.8372,182128.9565,250583.1234,106318.2166,287713.0851,168514.4508,249281.6397
"FT00110",42888.47878,36346.93354,36515.40797,34567.28434,28045.32874,43986.07402,49312.34095,36811.1352,26002.12565,31764.54014,42334.54078
"FT00111",29617.96677,36157.38334,31375.34417,17163.1713,38143.30922,31051.24031,29292.93529,34695.87959,39953.20249,22700.33397,36019.46391
"FT00112",54646.51939,76726.06077,51571.61114,50229.35234,81294.88437,44830.45879,59335.94469,74286.01,72535.95643,41200.41989,72368.40181
"FT00113",4426.566368,8117.709249,4529.150362,2713.762762,10273.61093,7324.871428,10730.16108,9802.394948,13269.21636,6976.804691,8197.549559
"FT00114",28582.47182,31540.4992,28536.7817,25050.67447,22441.89041,30012.777,32545.39581,27131.08375,20933.81137,21777.5476,31184.97605
"FT00115",7013.616289,7594.130319,8655.621352,4423.341966,8496.271611,11505.04678,10768.60927,9156.411501,10781.81143,7617.037691,8466.991067
"FT00116",3147.283159,4219.600646,4754.745335,2233.937928,4851.775243,3694.095654,6482.209889,2621.638529,7343.433348,1027.025422,5155.955022
"FT00117",2712.912507,11026.71338,6174.456461,7263.267484,12664.84407,20169.47,11739.00731,10522.75676,7049.551523,7777.135476,11570.67481
"FT00118",2736.272046,2972.454117,1953.631412,317.1116452,888.4464765,2654.659038,1971.8987,4044.725551,3517.532702,2301.518433,2659.951909
"FT00119",19369.48266,28397.63409,8982.55761,14478.90146,16377.35506,17782.62036,52672.27965,2567.901733,44281.67471,34330.59326,11002.44305
"FT00120",5999.74711,5258.332263,5222.194897,6137.24615,12526.73238,5361.378133,5786.289927,3493.542438,8914.173457,7274.254873,2406.646812
"FT00121",55633.70287,31164.06536,43315.72021,43909.337,32216.04547,24529.80033,87363.97818,50174.44387,43966.45276,23046.72377,23259.68119
"FT00122",28625.20592,28526.31779,30100.50935,8591.238395,9757.662863,13919.07076,23150.20412,11696.07055,1640.869024,15570.31998,11360.07675
