"","X.GENE_SYMBOL","ENTREZ_GENE_ID","EXOMISER_GENE_PHENO_SCORE","EXOMISER_GENE_VARIANT_SCORE","EXOMISER_GENE_COMBINED_SCORE","HUMAN_PHENO_SCORE","MOUSE_PHENO_SCORE","FISH_PHENO_SCORE","WALKER_SCORE","PHIVE_ALL_SPECIES_SCORE","OMIM_SCORE","MATCHES_CANDIDATE_GENE","HUMAN_PHENO_EVIDENCE","MOUSE_PHENO_EVIDENCE","FISH_PHENO_EVIDENCE","HUMAN_PPI_EVIDENCE","MOUSE_PPI_EVIDENCE","FISH_PPI_EVIDENCE"
"1","ATR",545,0.6216,0.9975,0.9117,0.6216,0.5263,0.3367,0.5112,0.6216,1,0,"Seckel syndrome 1 (OMIM:210600): Spasticity (HP:0001257)-Pachygyria (HP:0001302), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Large basal ganglia (HP:0007048), Cerebellar atrophy (HP:0001272)-Cerebellar vermis hypoplasia (HP:0001320), ","Spasticity (HP:0001257)-absent corpus callosum (MP:0002196), Microcephaly (HP:0000252)-microcephaly (MP:0000433), Abnormal basal ganglia MRI signal intensity (HP:0012751)-absent corpus callosum (MP:0002196), Cerebellar atrophy (HP:0001272)-decreased brain size (MP:0000774), ","Microcephaly (HP:0000252)-abnormal(ly) decreased size head (ZP:0000054), ","Proximity to MCPH1 associated with Autosomal recessive primary microcephaly (ORPHA:2512): Spasticity (HP:0001257)-Pachygyria (HP:0001302), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Methylmalonic aciduria (HP:0012120)-Vesicoureteral reflux (HP:0000076), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Agenesis of corpus callosum (HP:0001274), ","Proximity to MCPH1 Spasticity (HP:0001257)-microcephaly (MP:0000433), Microcephaly (HP:0000252)-microcephaly (MP:0000433), Cataract (HP:0000518)-cataract (MP:0001304), Abnormal basal ganglia MRI signal intensity (HP:0012751)-microcephaly (MP:0000433), ",""
"2","FOXE3",2301,0.6192,0.998,0.91,0.4979,0.6192,0.5654,0.5,0.6192,1,0,"Anterior segment dysgenesis 2, multiple subtypes (OMIM:610256): Cataract (HP:0000518)-Cataract (HP:0000518), ","Cataract (HP:0000518)-cataract (MP:0001304), ","Cataract (HP:0000518)-abnormal(ly) physical object quality lens (ZP:0008506), ","Proximity to ARX associated with Epileptic encephalopathy, early infantile, 1 (OMIM:308350): Spasticity (HP:0001257)-Spasticity (HP:0001257), Dystonia (HP:0001332)-Dystonia (HP:0001332), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), ","Proximity to ARX Spasticity (HP:0001257)-abnormal neuronal migration (MP:0006009), Microcephaly (HP:0000252)-abnormal postnatal subventricular zone morphology (MP:0004275), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal ventral striatum morphology (MP:0004103), Cerebellar atrophy (HP:0001272)-decreased brain size (MP:0000774), ","Proximity to ARX Spasticity (HP:0001257)-abnormal(ly) present in fewer numbers in organism preoptic area dopaminergic neuron (ZP:0010103), Cerebellar atrophy (HP:0001272)-abnormal(ly) present in fewer numbers in organism preoptic area dopaminergic neuron (ZP:0010103), "
"3","SPR",6697,0.6091,1,0.9027,0.6091,0.3803,0,0.5139,0.6091,1,0,"Dystonia, dopa-responsive, due to sepiapterin reductase deficiency (OMIM:612716): Spasticity (HP:0001257)-Spasticity (HP:0001257), Dystonia (HP:0001332)-Dystonia (HP:0001332), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Methylmalonic aciduria (HP:0012120)-Transient hyperphenylalaninemia (HP:0008297), ","Dystonia (HP:0001332)-abnormal locomotor activation (MP:0003313), Methylmalonic aciduria (HP:0012120)-abnormal circulating amino acid level (MP:0005311), ","","Proximity to MCEE associated with Methylmalonyl-CoA epimerase deficiency (OMIM:251120): Methylmalonic aciduria (HP:0012120)-Methylmalonic aciduria (HP:0012120), ","",""
"4","EHMT1",79813,0.5977,0.9968,0.8889,0.5977,0.4147,0,0.5003,0.5977,1,0,"Kleefstra syndrome due to 9q34 microdeletion (ORPHA:96147): Spasticity (HP:0001257)-Cerebral cortical hemiatrophy (HP:0100308), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Methylmalonic aciduria (HP:0012120)-Renal insufficiency (HP:0000083), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Agenesis of corpus callosum (HP:0001274), Cerebellar atrophy (HP:0001272)-Subcortical cerebral atrophy (HP:0012157), ","Spasticity (HP:0001257)-abnormal hippocampus pyramidal cell morphology (MP:0009940), Dystonia (HP:0001332)-hypoactivity (MP:0001402), Microcephaly (HP:0000252)-abnormal hippocampus pyramidal cell morphology (MP:0009940), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal hippocampus pyramidal cell morphology (MP:0009940), ","","Proximity to CACNA1B associated with ?Dystonia 23 (OMIM:614860): Spasticity (HP:0001257)-Cerebral cortical atrophy (HP:0002120), Dystonia (HP:0001332)-Axial dystonia (HP:0002530), Microcephaly (HP:0000252)-Cerebral cortical atrophy (HP:0002120), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","Proximity to CACNA1B Spasticity (HP:0001257)-abnormal baroreceptor physiology (MP:0004184), Dystonia (HP:0001332)-hyperactivity (MP:0001399), ",""
"5","ZNF423",23090,0.5901,0.9993,0.8832,0.4843,0.5901,0,0.5023,0.5901,1,0,"Joubert syndrome with oculorenal defect (ORPHA:2318): Spasticity (HP:0001257)-Abnormality of neuronal migration (HP:0002269), Microcephaly (HP:0000252)-Aplasia/Hypoplasia of the corpus callosum (HP:0007370), Cataract (HP:0000518)-Iris coloboma (HP:0000612), Methylmalonic aciduria (HP:0012120)-Renal insufficiency (HP:0000083), Ventriculomegaly (HP:0002119)-Hydrocephalus (HP:0000238), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Aplasia/Hypoplasia of the corpus callosum (HP:0007370), Cerebellar atrophy (HP:0001272)-Cerebellar vermis hypoplasia (HP:0001320), ","Spasticity (HP:0001257)-abnormal cerebellar granule cell precursor proliferation (MP:0009968), Dystonia (HP:0001332)-ataxia (MP:0001393), Microcephaly (HP:0000252)-absent cerebellum vermis (MP:0000865), Ventriculomegaly (HP:0002119)-enlarged lateral ventricles (MP:0008535), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal hippocampal commissure morphology (MP:0008221), Cerebellar atrophy (HP:0001272)-absent cerebellum (MP:0000850), ","","","Proximity to EBF1 Spasticity (HP:0001257)-abnormal brain internal capsule morphology (MP:0008128), Microcephaly (HP:0000252)-abnormal brain internal capsule morphology (MP:0008128), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal striatum morphology (MP:0004077), Cerebellar atrophy (HP:0001272)-abnormal metencephalon morphology (MP:0000847), ",""
"6","RTEL1",51750,0.6037,0.9802,0.8796,0.6037,0,0,0,0.6037,1,0,"Hoyeraal-Hreidarsson syndrome (ORPHA:3322): Spasticity (HP:0001257)-Hypertonia (HP:0001276), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Cerebellar atrophy (HP:0001272)-Cerebellar hypoplasia (HP:0001321), ","","","","",""
"7","SCN8A",6334,0.5755,0.9932,0.8601,0.4089,0.5755,0.2746,0.5001,0.5755,1,0,"Epileptic encephalopathy, early infantile, 13 (OMIM:614558): Microcephaly (HP:0000252)-Progressive microcephaly (HP:0000253), Cerebellar atrophy (HP:0001272)-Cerebral atrophy (HP:0002059), ","Spasticity (HP:0001257)-dystonia (MP:0005323), Dystonia (HP:0001332)-dystonia (MP:0005323), Cerebellar atrophy (HP:0001272)-ataxia (MP:0001393), ","Spasticity (HP:0001257)-abnormal(ly) process quality neuron migration (ZP:0000828), ","Proximity to MAG associated with Spastic paraplegia 75, autosomal recessive (OMIM:616680): Spasticity (HP:0001257)-Spastic dysarthria (HP:0002464), Microcephaly (HP:0000252)-Corpus callosum atrophy (HP:0007371), Cataract (HP:0000518)-Astigmatism (HP:0000483), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Corpus callosum atrophy (HP:0007371), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","Proximity to MAG Dystonia (HP:0001332)-hypoactivity (MP:0001402), ",""
"8","RNF125",54941,0.5607,1,0.8486,0.5607,0,0,0.5038,0.5607,1,0,"Tenorio syndrome (OMIM:616260): Spasticity (HP:0001257)-Cerebral cortical atrophy (HP:0002120), Microcephaly (HP:0000252)-Macrocephaly (HP:0000256), Cataract (HP:0000518)-Keratoconjunctivitis sicca (HP:0001097), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Cerebellar atrophy (HP:0001272)-Cerebral cortical atrophy (HP:0002120), ","","","Proximity to IFIH1 associated with Aicardi-Goutieres syndrome 7 (OMIM:615846): Spasticity (HP:0001257)-Spastic tetraparesis (HP:0001285), Dystonia (HP:0001332)-Dystonia (HP:0001332), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Methylmalonic aciduria (HP:0012120)-Nephrotic syndrome (HP:0000100), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Basal ganglia calcification (HP:0002135), Cerebellar atrophy (HP:0001272)-Cerebral atrophy (HP:0002059), ","Proximity to IFIH1 Methylmalonic aciduria (HP:0012120)-glomerulonephritis (MP:0002743), ",""
"9","TBP",6908,0.6259,0.9185,0.8393,0.6259,0.3035,0.152,0.5043,0.6259,1,0,"Spinocerebellar ataxia type 17 (ORPHA:98759): Spasticity (HP:0001257)-Spasticity (HP:0001257), Dystonia (HP:0001332)-Writer's cramp (HP:0002356), Microcephaly (HP:0000252)-Generalized cerebral atrophy/hypoplasia (HP:0007058), Cerebellar atrophy (HP:0001272)-Cerebellar Purkinje layer atrophy (HP:0012082), ","Spasticity (HP:0001257)-ataxia (MP:0001393), Dystonia (HP:0001332)-short stride length (MP:0001407), Cerebellar atrophy (HP:0001272)-ataxia (MP:0001393), ","Methylmalonic aciduria (HP:0012120)-abnormal(ly) disrupted mRNA catabolic process (ZP:0000459), ","Proximity to TAF1 associated with Mental retardation, X-linked, syndromic 33 (OMIM:300966): Spasticity (HP:0001257)-Spastic diplegia (HP:0001264), Dystonia (HP:0001332)-Dystonia (HP:0001332), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Hypoplasia of the corpus callosum (HP:0002079), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","",""
"10","DYRK1A",1859,0.5522,1,0.8369,0.4309,0.5522,0,0.5002,0.5522,1,0,"Mental retardation, autosomal dominant 7 (OMIM:614104): Spasticity (HP:0001257)-Cerebral cortical atrophy (HP:0002120), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Cerebellar atrophy (HP:0001272)-Cerebral cortical atrophy (HP:0002120), ","Spasticity (HP:0001257)-abnormal premotor cortex morphology (MP:0020568), Microcephaly (HP:0000252)-microcephaly (MP:0000433), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal premotor cortex morphology (MP:0020568), Cerebellar atrophy (HP:0001272)-decreased hindbrain size (MP:0012263), ","","Proximity to MAG associated with Spastic paraplegia 75, autosomal recessive (OMIM:616680): Spasticity (HP:0001257)-Spastic dysarthria (HP:0002464), Microcephaly (HP:0000252)-Corpus callosum atrophy (HP:0007371), Cataract (HP:0000518)-Astigmatism (HP:0000483), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Corpus callosum atrophy (HP:0007371), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","Proximity to MAG Dystonia (HP:0001332)-hypoactivity (MP:0001402), ",""
